"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(0 16),0.392699,0.005,2,0.392699,10,15
(0 7),0.517699,0.005,2,0.517699,15,10
(0 18),0.392699,0.005,2,0.392699,20,10
(0 19),0.517699,0.005,2,0.517699,25,5
(0 20),0.392699,0.005,2,0.392699,35,5
(0 21),0.517699,0.005,2,0.517699,10,15
(0 22),0.392699,0.005,2,0.392699,15,10
(0 23),0.517699,0.005,2,0.517699,20,10
(0 24),0.392699,0.005,2,0.392699,25,5
(0 25),0.517699,0.005,2,0.517699,35,5
(0 26),0.392699,0.005,2,0.392699,10,15
(0 27),0.517699,0.005,2,0.517699,15,10
(0 28),0.392699,0.005,2,0.392699,20,10
(0 29),0.517699,0.005,2,0.517699,25,5
(0 30),0.392699,0.005,2,0.392699,35,5
(0 31),0.517699,0.005,2,0.517699,10,15
(0 32),0.785398,0.01,2,0.785398,15,10
(9 15),0.910398,0.01,2,0.910398,20,10
(56 63),0.785398,0.01,2,0.785398,25,5
